ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,http_trans_depth,http_request_body_len,http_response_body_len,http_status_code
1748221594.425757,192.168.18.14,41316,142.251.0.95,443,tcp,desconocido,0,55,0,desconocido,0,1,55,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.440393,51.104.15.253,443,192.168.18.14,41425,tcp,desconocido,0,153,0,desconocido,0,1,153,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.441188,192.168.18.14,41425,51.104.15.253,443,tcp,desconocido,0,491,0,desconocido,0,1,491,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.467767,142.251.0.95,443,192.168.18.14,41316,tcp,desconocido,0,66,0,desconocido,0,1,66,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.683859,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.683859,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.683859,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.683935,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.683935,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221594.683935,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
